,id_text,text_name,version,l_no,text
105,Q000767,A dialogue between two unnamed scribes,,106,sux:lu₂.IM[criminal]N sux:saŋ[head]N sux:gu[neck]N sux:ne[brazier]N sux:nud[lie]V/i
106,Q000767,A dialogue between two unnamed scribes,,107,sux:bala[turn]V/t sux:ašuŋiri[limbs]N sux:kud[cut]V/t sux:kuš[skin]N sux:sil[split]V/t
107,Q000767,A dialogue between two unnamed scribes,,108,sux:e[house]N sux:burud[perforate]V/t sux:dun[dig]V/t sux:dug[speak]V/t
108,Q000767,A dialogue between two unnamed scribes,,109,sux:anaš[why?]QP sux:gabal[fight]N sux:du[build]V/t
109,Q000767,A dialogue between two unnamed scribes,,110,sux:in[abuse]N sux:dub[tremble]V/t sux:su[flesh]N sux:ŋal[be]V/i
110,Q000767,A dialogue between two unnamed scribes,,111,sux:ŋen[go]V/i sux:esir[street]N sux:e[leave]V/i
111,Q000767,A dialogue between two unnamed scribes,,112,sux:lu[person]N sux:zu[know]V/t sux:igi[eye]N sux:duh[loosen]V/t
112,Q000767,A dialogue between two unnamed scribes,,113,sux:naŋah[fool]N sux:me[be]V/i sux:egir[back]N sux:inim[word]N sux:zu[know]V/t
113,Q000767,A dialogue between two unnamed scribes,,114,sux:lu[person]N sux:sikildua[insulting]AJ sux:me[be]V/i sux:niŋnam[anything]N sux:zu[know]V/t
114,Q000767,A dialogue between two unnamed scribes,,115,sux:ishab[rogue]N sux:di[speak]V/t sux:taka[abandon]V/t sux:me[be]V/i
115,Q000767,A dialogue between two unnamed scribes,,116,sux:lu[person]N sux:saŋ[head]N sux:gi[turn]V/i sux:inim[word]N sux:dab[seize]V/t
116,Q000767,A dialogue between two unnamed scribes,,117,sux:lu[person]N sux:gu[voice]N sux:rah[beat]V/t sux:šag[heart]N sux:didal[ashes]N sux:nud[lie]V/i
117,Q000767,A dialogue between two unnamed scribes,,118,sux:lu[person]N sux:šaŋar[starvation]N sux:ninda[bread]N sux:kar[flee]V/t
118,Q000767,A dialogue between two unnamed scribes,,119,sux:lu[person]N sux:dab[seize]V/t sux:bisaŋ[basket]N sux:e[house]N sux:diŋir[deity]N saŋ-bur₂-bi[NA]NA sux:kal[rare]V/i
119,Q000767,A dialogue between two unnamed scribes,,120,sux:zeza[croaker]N sux:gu[voice]N sux:de[pour]V/t sux:daggi[quarter]N sux:lu[mix]V/t
120,Q000767,A dialogue between two unnamed scribes,,121,sux:lu[person]N sux:pel[defile]V/t sux:teš[vigor]N sux:tuku[acquire]V/t sux:zu[know]V/t
121,Q000767,A dialogue between two unnamed scribes,,122,sux:lu[person]N sux:kar[insult]V/t niŋ₂-ur₂-ra[NA]NA sux:gu[eat]V/t
122,Q000767,A dialogue between two unnamed scribes,,123,sux:lu[person]N sux:saŋ.DU[smitten-person]N sux:dumu[child]N sux:lu[person]N sux:zu[know]V/t
123,Q000767,A dialogue between two unnamed scribes,,124,sux:kimanzer[locus]N sux:lu[person]N sux:kal[rare]V/i sux:zu[know]V/t
124,Q000767,A dialogue between two unnamed scribes,,125,sux:ursaŋ[hero]N sux:gub[stand]V/i sux:šu[hand]N sux:la[hang]V/t
125,Q000767,A dialogue between two unnamed scribes,,126,sux:gub[stand]V/i sux:gin[firm]V/i sux:tuš[sit]V/i sux:sag[good]V/i
126,Q000767,A dialogue between two unnamed scribes,,127,sux:šid[count]V/t sux:ul[hasten]V/i sux:sar[write]V/t sux:šu[hand]N sux:ur[drag]V/t
127,Q000767,A dialogue between two unnamed scribes,,128,sux:niŋ[thing]N sux:sar[write]V/t sux:gu[voice]N sux:de[pour]V/t
128,Q000767,A dialogue between two unnamed scribes,,129,sux:dugud[heavy]V/i sux:sar[write]V/t sux:šu[hand]N sux:zuhul[pierce]V/t
129,Q000767,A dialogue between two unnamed scribes,,130,sux:šid[count]V/t sux:du[suitable]V/i sux:sar[write]V/t sux:mete[appropriate-thing]N sux:nu[not]V/i
130,Q000767,A dialogue between two unnamed scribes,,131,sux:dub[tablet]N sux:tur[small]V/i sux:ul[hasten]V/i sux:til[complete]V/i
131,Q000767,A dialogue between two unnamed scribes,,132,sux:kigub[station]N sux:ugu[cvne]N sux:de[pour]V/t
132,Q000767,A dialogue between two unnamed scribes,,133,sux:kituš[dwelling]N sux:bir[scatter]V/t
133,Q000767,A dialogue between two unnamed scribes,,134,sux:dimma[thought]N sux:šub[fall]V/t sux:gu[voice]N ab-ta-giri₁₁-da[NA]NA
134,Q000767,A dialogue between two unnamed scribes,,135,sux:aba[who?]QP sux:gu[voice]N sux:de[pour]V/t
135,Q000767,A dialogue between two unnamed scribes,,136,sux:ana[what?]QP sux:ŋal[be]V/i sux:dud[combat]N sux:e[leave]V/i
136,Q000767,A dialogue between two unnamed scribes,,137,sux:gub[stand]V/i sux:lu₂.IM[criminal]N sux:gabal[fight]N sux:du[build]V/t sux:du[build]V/t
